title,abstract_localized.text,abstract_localized.language,abstract_localized.truncated
Fire detection system based on artificial intelligence and fire detection method based on artificial intelligence,"The present disclosure relates to a fire detection system based on AI and a fire detection method based on Ai, which detects fire by using deep learning. The fire detection system includes a camera part generating video images, an object extraction part extracting a motion object from the video images, a video image conversion part generating a first background removal image, an image division part dividing the first background removal image with a plurality of division lines, and an analyzing part generating an abnormal signal and a normal signal.",en,FALSE
,"The present disclosure relates to a fire detection system based on AI and a fire detection method based on Ai, which detects fire by using deep learning. The fire detection system includes a camera part generating video images, an object extraction part extracting a motion object from the video images, a video image conversion part generating a first background removal image, an image division part dividing the first background removal image with a plurality of division lines, and an analyzing part generating an abnormal signal and a normal signal.",en,FALSE
Embedding artificial intelligence for balancing access point processing load in IPV6 enabled networks,"Responsive to a CPU load of a specific access point surpassing a high CPU threshold value, each of the wireless stations is disassociated from the specific access point. A second access point within range of the disassociated wireless stations is identified. A current CPU load is determined for the second access point and determining RSSI values for the wireless station with respect to the second access points relative to other available access points. Responsive to a current CPU load being within a low CPU threshold value, and an RSSI value being within a minimum decibel value, one or more of the disassociated wireless stations the second access point are associated. IPv6 network services are then continued for the wireless station by the second access point.",en,FALSE
,"Responsive to a CPU load of a specific access point surpassing a high CPU threshold value, each of the wireless stations is disassociated from the specific access point. A second access point within range of the disassociated wireless stations is identified. A current CPU load is determined for the second access point and determining RSSI values for the wireless station with respect to the second access points relative to other available access points. Responsive to a current CPU load being within a low CPU threshold value, and an RSSI value being within a minimum decibel value, one or more of the disassociated wireless stations the second access point are associated. IPv6 network services are then continued for the wireless station by the second access point.",en,FALSE
Optimization techniques for artificial intelligence,"Methods, apparatuses and computer readable medium are presented for generating a natural language model. A method for generating a natural language model comprises: selecting from a pool of documents, a first set of documents to be annotated; receiving annotations of the first set of documents elicited by first human readable prompts; training a natural language model using the annotated first set of documents; determining documents in the pool having uncertain natural language processing results according to the trained natural language model and/or the received annotations; selecting from the pool of documents, a second set of documents to be annotated comprising documents having uncertain natural language processing results; receiving annotations of the second set of documents elicited by second human readable prompts; and retraining a natural language model using the annotated second set of documents.",en,FALSE
,"Methods, apparatuses and computer readable medium are presented for generating a natural language model. A method for generating a natural language model comprises: selecting from a pool of documents, a first set of documents to be annotated; receiving annotations of the first set of documents elicited by first human readable prompts; training a natural language model using the annotated first set of documents; determining documents in the pool having uncertain natural language processing results according to the trained natural language model and/or the received annotations; selecting from the pool of documents, a second set of documents to be annotated comprising documents having uncertain natural language processing results; receiving annotations of the second set of documents elicited by second human readable prompts; and retraining a natural language model using the annotated second set of documents.",en,FALSE
Method to create a secure distributed data validation system using a distributed storage system and artificial intelligence,"Methods and apparatus for validating paper forms are provided. A node can receive paper-form data from a paper form that has first and second data items (DIs). The node can: determine first and second metadata for the first and second DIs respectively, determine respective first and second validation entities (VEs) to validate respective values of the first and second DIs based on the respective first and second metadata, where the first and second VEs can differ, provide a user interface (UI) including a display of the first DI, receive a validation status for the first DI via the first UI from the first VE, select a first distributed storage system (DSS) associated with the first DI, and record the value of the first DI and the validation status in the first DSS. The node can generate an output related to the paper-form data based on the first DSS.",en,FALSE
,"Methods and apparatus for validating paper forms are provided. A node can receive paper-form data from a paper form that has first and second data items (DIs). The node can: determine first and second metadata for the first and second DIs respectively, determine respective first and second validation entities (VEs) to validate respective values of the first and second DIs based on the respective first and second metadata, where the first and second VEs can differ, provide a user interface (UI) including a display of the first DI, receive a validation status for the first DI via the first UI from the first VE, select a first distributed storage system (DSS) associated with the first DI, and record the value of the first DI and the validation status in the first DSS. The node can generate an output related to the paper-form data based on the first DSS.",en,FALSE
Virtual game assistant based on artificial intelligence,"Virtual game dealers based on artificial intelligence are described. In one implementation, an artificial intelligence (AI) engine tracks player attributes and game states of a given electronic game, such as a multiplayer electronic card game hosted by a virtual dealer. The virtual dealer may be embodied as a video, hologram, or robot. The AI engine selects speech and gestures for the virtual dealer based on the game states and player attributes. The player attributes may be retrieved from a player tracking system, from an identifier card carried by the player, and from machine perception of the player in real time. In one implementation, the AI engine determines emotions for the virtual dealer to portray, based on circumstances. Supported by the AI engine, the virtual dealer may personalize dialogue, provide information, and perform card and chip tricks. The AI engine may also animate a virtual player and select interactions between the virtual dealer and the virtual player based on game states and attributes of the human players.",en,FALSE
Transformer manufacturing optimized planning across the manufacturing plants using artificial intelligence,"Accordingly, a system and method for selecting an optimal manufacturing location at which to execute an order are disclosed. Input is received including the order and manufacturing capability information for the available locations. The input may also include management information. An optimization mode is selected based on the manufacturing capability information. The optimization mode may be, for example, a global or a local mode. A manufacturing optimization is performed based on the input and the selected optimization mode. The optimization provides an optimal manufacturing location at which to execute the order. The order may be forwarded to the optimal manufacturing location.",en,FALSE
